atman,âtman
tyagaraja,tyāgarāja
aradhanosthava,arādhanost͟hava
raga,rāga
malika,mālikā
bhatkhande,bhātkhaṇḍe
samarpan,samarpaṇ
swarasankula,swarasaṅkula
gange,gaṅge
mallapur,mallāpur
talmakiwadi,tālmakīwāḍī
karla,kārlā
parijnanashram,parijñānāshram
seva,sevā
mam,mām
lonavla,loṇāvlā
vishnudass,vis͟hnudāss
kirtankar,kīrtankār
hubιi,hubῑī
kirtan,kīrtan
mangesh,maṅgesh
mahavidyalaya,mahāvidyālaya
siddharudh,siddhārud͟h
swami,swāmī
omkarnath,omkārnāth
thakur,thākur
shankarrao,shaṅkarrāo
vyas,vyās
narayanrao,nārāyaṇrāo
baba,bābā
allauddin,allāuddin
praveen,praveeṇ
lahore,lāhore
shankar,shaṅkar
kalpana,kalpanā
dance,dānce
natak,nāṭak
shrimat,shrīmat
brihanmumbai,brihanmumbaī
samvit,saṁvit
tardeo,tārdeo
bal,bāl
gopal,gopāl
nagari,nagarī
mangalprabhat,maṅgalprabhāt
lodha,lod͟hā
kadιe,kaḍῑe
ughade,ughāḍe
jaikar,jaikār
guruparampara,guruparamparā
dipa,dīpa
prajwalana,prajwālana
parijnanashrama,parijñānāshrama
jayanti,jayantī
apnapan,apnāpan
naunihal,naunihāl
sunetra,sunetrā
nagarkatti,nāgarkaṭṭi
anushthana,anus͟ht͟hāna
sadhaka,sādhaka
sannyasi,sannyāsī
seemollangana,seemollaṅgana
uttaavnche,uṭṭaavnche
chaturmasya,chāturmāsya
grhastha,gṛhastha
nididhyasana,nididhyāsana
drshti,dṛs͟hṭi
swadhyaya,swādhyāya
upanishad,upanis͟had
bhagawadgita,bhagawadgītā
ashirvachana,āshīrvachana
paramarsha,parāmarsha
samuhika,sāmūhika
mala,mālā
ishta,is͟hṭa
tapasya,tapasyā
pranayama,prāṇāyāma
sankalpa,saṅkalpa
krpa,kṛpā
brahmavidya,brahmavidyā
mandala,maṇḍala
vyasa,vyāsa
suprabhatam,suprabhātam
jalabhisheka,jalābhis͟heka
pradhana,pradhāna
prarthana,prārthanā
kutira,kuṭīra
puja,pūjā
mahaganapati,mahāgaṇapatī
brahmadi,brahmādi
purvanga,pūrvāṅga
manyusukta,manyusūkta
devata,devatā
rangoli,raṅgolī
ashtavasu,as͟hṭavasu
chamunda,chāmuṇḍā
gada,gadā
trishula,trishūla
ganga,gaṅgā
akshata,aks͟hata
vysasa,vysāsa
mandal,maṇḍal
panchaka,pañchaka
dakshinamurti,dakshiṇāmūrti
sanatana,sanātana
sanatkumar,sanatkumār
atharvangirasa,atharvāṅgīrasa
bharadwaja,bhāradwāja
narada,nārada
vasishtha,vasis͟ht͟ha
ιshanaya,ῑshānaya
yajnavalkya,yājñavalkya
parashara,parāshara
purva,pūrva
vaishampayana,vaishampāyana
bhishma,bhīs͟hma
gaudapada,gauḍapāda
govindapada,govindapāda
bhashyakara,bhās͟͟hyakāra
vishwarupa,vishwarūpa
sureshvaracharya,sureshvarāchārya
padmapada,padmapāda
hastamalaka,hastāmalaka
totakacharya,toṭakāchārya
dravidacharya,draviḍāchārya
vivaranacharya,vivaraṇāchārya
vidyaranya,vidyāraṇya
anandagiri,ānandagiri
anubhutiswarupacharya,anubhūtiswarūpāchārya
parameshthi,parames͟ht͟hi
paratpara,parātpara
atma,ātma
antaratman,antarātman
paramatman,paramātman
sarvatman,sarvātman
brahmatman,brahmātman
rudrakshamala,rudrāks͟hamālā
amrta,amṛta
chinmudra,chinmudrā
sphatika,sphaṭika
shivalinga,shivaliṅga
devi,devī
rajarajeshwari,rājarājeshwarī
ashtottarashata,as͟hṭottarashata
namavali,nāmāvali
vedavyasa,vedavyāsa
swamijii,swāmījīi
ashtaka,as͟hṭaka
guna,guṇa
paduka,pādukā
tirtha,tīrtha
vitarana,vitaraṇa
smarana,smaraṇa
dipanamaskara,dīpanamaskāra
ratri,rātri
mangalarati,maṅgalāratī
ashtavadhana,as͟hṭāvadhana
aradhya,ārādhya
upasana,upāsanā
moksha,moks͟ha
sada,sadā
murli,murlī
bhanap,bhānap
krishnarao,kṛis̲h̲ṇarāo
javkar,jāvkar
rajaram,rājārām
guni,guṇī
lakshman,laks͟hmaṇ
jaipurwale,jaipurwāle
tablanawaz,tablānawāz
taranath,tārānāth
rao,rāo
hattangadi,haṭṭaṅgaḍi
panditji,paṇḍitjī
prabhakar,prabhākar
prayag,prayāg
allahabad,allāhābād
tata,tātā
goa,goā
hathras,hāthras
tana,tāna
bansuri,bansurī
navrang,navraṅg
tabla,tablā
amir,āmir
pannalal,pannālāl
ghosh,ghos͟h
panna,pannā
devendra,deveṅdra
akashvani,ākāshvāṇī
akademi,akādemī
mathadhipatya,mathādhipatya
_pushpanjali_,_pushpâñjalî_
_sabha,_sabhâ
prarambha,prārambha
prarthana_,prârthanâ_
_guruparampara,_guruparamparâ
_parijatam_,_pârijâtam_
_devabhasha_,_devabhâshâ_
_prarthana_,_prârthanâ_
konkani,koṅkaṇī
_ashirvada_,_ashîrvâda_
saraswati,saraswatī
_prarthana,_prârthanâ
_pushapanjali_,_pushapâñjalî_
sangeet,saṅgeet
alladiya,allādiyā
karim,karīm
saheb,sāheb
ragsangeet,rāgsaṅgeet
karekatte,karekaṭṭe
nagesh,nāgesh
patiala,paṭiālā
gwalior,gwālior
talim,tālīm
guruji,gurujī
ginde,giṇḍe
bharatiya,bhāratīya
vidya,vidyā
dhamar,dhamār
tansen,tānsen
sharangdev,shāraṅgdev
singar,singār
shashikala,shashikalā
samsi,samsī
kausalya,kausalyā
dinkar,diṅkar
nimbargi,nimbārgī
gajananrao,gajānanrāo
joshi,joshī
mogubai,mogubāī
mai,māī
gurumauli,gurumāulī
kishori,kishorī
amonkar,āmoṇkar
pratima,pratimā
mahatma,mahātmā
gandhi,gāndhī
tanpura,tānpūrā
archana,archanā
kumta,kumṭā
rajgopal,rājgopāl
haidipur,haīdipur
sorab,sorāb
shrimadbhagawatam,shrīmadbhāgawatam
tarakasura,tārakāsura
tarakaksha,tārakāks͟ha
vidyunmali,vidyunmāli
kamalaksha,kamalāks͟ha
narakasura,narakāsura
sthula,sthūla
sukshma,sūks͟hma
karana,kāraṇa
sharira,sharīra
kama,kāma
margashirsha,mārgashīrs͟ha
murti,mūrti
palakhi,pālakhī
dhatri,dhātri
avala,āvălă
ruku,rūkū
yuva,yuvā
rajangana,rājaṅgaṇa
shivaganga,shivagaṅgā
umabai,umābaī
aroor,āroor
kshamayachana,ks͟hamāyāchanā
krshnashram,kṛshṇāshram
yuvadhara,yuvadhārā
_sanchalak_,_sanchâlak_
_pranayama_,_prânâyâmâ_
_ninad_,_ninâd_
_anushthan_,_anushthân_
_puja_,_pûjâ_
parampara,paramparā
_anugraha_,_anugrahâ_
_seva_,_sevâ_
_pranam_,_pranâm_
saguna,saguṇā
kalyanpur,kalyāṇpur
carnatic,carnāṭic
ratnakar,ratnākar
ugran,ugrāṇ
delhi,delhī
kesarbai,kesarbāī
khushi,khushī
hogi,hogī
sikhane,sikhāne
riyaz,riyāz
beti,beṭī
bengaluru,beṅgal̄ūru
chudi,chūḍī
talgeri,talgerī
bailur,bailūr
uma,umā
savur,savūr
saubhagya,saubhāgya
sita,sītā
vanavasa,vanavāsa
jirvankura,jirvāṅkura
durva,durvā
itihasa,itihāsa
ahalya,ahalyā
mandodari,mandodarī
draupadi,draupadī
tara,tārā
anvali,anvalī
maddo,maḍḍŏ
nelanilli,nelanillī
pachchakana,pāchchakana
ratnagandhi,ratnagandhī
sugandhi,sugandhī
shankhapushpa,shaṅkhapus͟hpa
karavira,karavīra
rathapushpa,rathapus͟hpa
pagoda,pagodā
gulab,gulāb
shevanti,shevantī
champa,champā
khiri,khīrī
shira,shīrā
godda,goḍḍā
hayagriva,hayagrīva
chana,chanā
dal,dāl
elaichi,elāichī
undlakal,uṇḍlakāl
churna,chūrṇa
kanayendri,kanayendrī
rava,ravā
katto,kaṭṭo
phodi,phoḍī
pana,pāna
haldi,haldī
kunkum,kuṅkum
shanti,shānti
bhagyada,bhāgyadā
baramma,bārammā
surya,sūrya
japakusuma,japākusuma
sankasham,saṅkāsham
divakaram,divākaram
stutimanjari,stutimañjarī
khavlo,khavlŏ
khunto,khunṭŏ
rshi,ṛs͟hi
patni,patnī
saptarshi,saptaṛshi
devakuda,dĕvākūḍa
vido,vīḍŏ
anand,ānand
anandashram,ānandāshram
arun,aruṇ
shilanyasa,shilānyāsa
shankarnarayana,shaṅkarnārāyaṇa
geetha,geethā
kripa,kripā
sansthana,sansthāna
navaratri,navarātri
kojagari,kojāgarī
maghi,māghī
sharadiya,shāradīya
adhishthana,adhis̲h̲t̲h̲āna
adhishthatri,adhis͟ht͟hātrī
vijayadashami,vijayādashamī
dussehra,dussehrā
shailaputri,shailaputrī
himavana,himavāna
brahmacharini,brahmachāriṇī
chandraghanta,chandraghaṇṭā
kushmanda,kūs̲h̲māṇḍā
lalita,lalitā
subrahmanya,subrahmaṇya
skandamata,skandamātā
katyayani,kātyāyanī
katyayana,kātyāyana
kalaratri,kālarātri
durgashtami,durgās̲h̲ṭamī
mahagauri,mahāgaurī
siddhidatri,siddhidātrī
yatra,yātrā
ayodhya,ayodhyā
mantapa,maṇṭapa
ghata,ghaṭa
sthapana,sthāpana
dhanya,dhānya
ankurita,aṅkurita
prasada,prasāda
durganamaskara,durgānamaskāra
chandika,chaṇḍikā
yajna,yajña
kumarika,kumārikā
bhandasura,bhanḍāsura
deva,devā
shami,shamī
vrksha,vṛks͟͟ha
ma,mā
bhumi,bhūmi
dhanalakshmi,dhanalaks̲h̲mī
jagarti,jāgarti
badam,badām
garba,garbā
smita,smitā
moodbidri,mooḍbidrī
beena,beenā
savkur,savkūr
sandhya,sandhyā
nayel,nāyel
trasi,trāsī
bhavani,bhavānī
nayel_,nāyel_
bengaiuru_,beṅgaīūru_
_ekpanne_,_ekpānne_
uiial,uīīāl
_tendlya,_teṇḍlyā
ankre_,āṅkre_
ganesha,gaṇesha
panjikaranam,pañjīkaraṇam
sabhagrha,sabhāgṛha
karnad,kārṇāḍ
arohanam,ārohaṇam
padma,padmā
betrabet,beṭrabeṭ
gulvady,gulvāḍy
gauri,gaurī
pallavi,pallavī
yogabhyasa,yogābhyāsa
yogasana,yogāsana
shavasana,shavāsana
upahara,upāhāra
panakam,pānakam
nimbu,nimbū
pudina,pudīna
pinakam,pīnakam
bhojanalaya,bhojanālaya
naimpaiiy,naimpaīīy
manjula,mañjulā
jamalabad,jamālābād
parijnanashramtrayodashi,parijñānāshramtrayodashī
samskrtam,saṁskṛtam
krida,krīḍā
panchalika,pañchālikā
pathanam,pāthanam
bhojanshala,bhojanshālā
_amras,_āmras
puri,purī
batate,baṭāṭe
bhaji,bhājī
pulao,pulāo
raita_,rāitā_
vadyam,vādyam
bala,bālā
gitam,gītam
paushtika,paushṭika
patha,pāt͟ha
arti,ārti
eshwari,eshwarī
aarohi,aarohī
basrur,basrūr
hosangdi,hosaṅgḍī
yuvati,yuvatī
dumbiekar,dumbīekar
sainath,sāināth
samapti,samāpti
om,oṁ
namah,namaḥ
parvati,pārvati
mahadeva,mahādeva
manjeshwar,mañjeshwar
pune,puṇe
ammi,āmmī
bhagyavanta,bhāgyavanta
shashtyabdapurti,shas͟hṭyabdapūrti
girvanapratishtha,gīrvāṇapratis͟ht͟hā
bandhava,bāndhava
rajasthan,rājasthān
prasadika,prāsādika
sari,sārī
durga,durgā
parameshwari,parameshwarī
kailasa,kailāsa
mandapam,maṇḍapam
paithani,pait͟haṇī
kanjeevaram,kāñjeevaram
benaras,benāras
rathasaptami,rathasaptamī
prapti,prāpti
gayatri,gāyatrī
purusha,purus͟ha
narayana,nārāyaṇa
samvatsara,saṁvatsara
simha,siṁha
saptashva,saptāshva
yugadi,yugādi
achalasaptami,achalāsaptamī
punya,puṇya
tarpana,tarpaṇa
aditya,āditya
hrdaya,hṛdaya
suryashtaka,sūryās͟hṭaka
sahasranama,sahasranāma
suryamandala,sūryamaṇḍala
melkote,melkoṭe
vira,vīra
venkatesha,veṅkaṭesha
venkatramana,veṅkaṭramaṇa
kodial,koḍiāl
kotitirtha,koṭitīrtha
arur,ārūr
mahabaleshwar,mahābaleshwar
_rathasaptami,_rathasaptamī
uttarayana,uttarāyaṇa
brahmakalashotsavah,brahmakalashotsavaḥ
trti,tṛṭi
adesha,ādesha
hodi,hoḍī
chandikahoma,chaṇḍikāhoma
ranga,raṅga
bhuvaneshwari,bhuvaneshwarī
upastithi,upastithī
chandavarkar,chandāvarkar
kadie,kaḍīe
torana,toraṇa
parijataka,pārijataka
ramanjaneya,rāmāñjaneya
angavastra,aṅgavastra
adi,ādi
shankaracharya,shaṅkarāchārya
janve,jānve
bhairas,bhairās
shankha,shaṅkha
vadana,vādana
aparna,aparṇā
drdha,dṛd͟ha
nishtha,nis͟ht͟hā
bhavana,bhāvanā
sabhangana,sabhāṅgana
suryadeva,sūryadeva
chende,cheṇḍe
jaghanta,jaghāṇṭa
shehnai,shehnāī
vibhuti,vibhūtī
kanakabhisheka,kanakābhis͟heka
gadda,gāddă
honnavar,honnāvar
paricharaka,parichāraka
kale,kāle
palta,paltā
vidyarthi,vidyārthi
laxman,laxmaṇ
baddukuιi,baḍḍukuῑi
venkatesh,veṅkaṭesh
haridas,haridās
ramchandra,rāmchandra
padukone,paḍukoṇe
shripad,shrīpād
dharmi,dharmī
mimamsa,mīmāṁsā
kaladi,kālaḍī
purna,pūrṇa
sannyasa,sannỵ̣āsa
bhagawadpada,bhagawadpāda
jagadacharya,jagadāchārya
vedanta,vedānta
jiva,jīva
samsara,saṁsāra
bhashya,bhāshya
prasthana,prasthāna
badarayana,bādarāyaṇa
vyasacharya,vyāsachārya
brahmasutra,brahmasūtra
bhashyam,bhās͟hyam
sarvajna,sarvajña
kashmir,kashmīr
pramana,pramāṇa
pranapratishtha,prāṇapratis͟ht͟hā
parayana,pārāyaṇa
totakashtakam,toṭakās͟hṭakam
bengaιuru,beṅgaῑūrū
shankarabhashya,shāṅkarabhās͟hya
ashtottara,as͟hṭottara
shatanamavali,shatanāmāvali
krtakrtyosmi,kṛtakṛtyosmi
annasaheb,āṇṇasāheb
visharad,vis̲h̲ārad
vidyapeeth,vidyāpeet̲h̲
radhakrshna,rādhākṛs͟hṇā
shyamala,shyāmalā
kiran,kiraṇ
prakash,prakāsh
deepa,deepā
malgi,mal̄gī
bellary,bel̄l̄āry
nilekani,nīlekaṇi
malati,mālatī
pappa,pappā
malatamma,mālatāmmā
dharma,dharmā
kottge,kŏṭṭge
bhiksha,bhiks͟hā
namaskara,namaskāra
amma,āmmā
annu,ānnu
subrahmanyam,subrahmaṇyam
amchi,āmchī
chandawarkar,chandāwarkar
chandrakantmam,chandrakāntmām
kalbag,kalbāg
shenoy,sheṇoy
hampaiah,hampaiāh
shenoymam,sheṇoymām
srisailam,srīsailam
atrauli,atraulī
bhushan,bhūs͟haṇ
naik,nāik
kolkata,kolkatā
ahmedabad,ahmedābād
vatsalyam,vātsalyam
sharanagati,sharaṇāgati
rajyotsava,rājyotsava
kalashree,kalāshree
gujarat,gujarāt
nishagandhi,nishāgāndhī
puraskaram,puraskāram
keraia,keraīā
bhairavi,bhairavī
vatavriksh,vaṭavriks͟h
bharat,bhārat
bhopal,bhopāl
rag,rāg
rang,raṅg
panchrangi,pañchraṅgī
ragon,rāgon
ka,kā
guldasta,guldastā
piya,piyā
vidyalaya,vidyālaya
namananjali,namanāñjalī
pandits,paṇḍits
chowdiah,chowdiāh
samaprakriti,samaprakṛiti
amritavarshini,amṛitavars̲h̲iṇī
swarna,swarṇa
ganapati,gaṇapatī
jivanamuktah,jīvanamuktaḥ
onkara,oṅkāra
jagrta,jāgṛta
kuda,kūḍa
tritiya,tritīya
pathana,pat͟hana
namavalli,nāmāvallī
mogra,mogrā
diya,dīyā
pandurangashram,pāṇḍuraṅgāshram
chauranga,chauraṅga
decor,décor
ti,tī
bola,bolā
jaijaikar,jaijaikār
swamincha,swāmīñchā
dipalankara,dīpālaṅkāra
anahata,anāhata
pranava,praṇava
ananda,ānanda
kalla,kāllă
bundi,būndi
bhaktibhava,bhaktibhāva
kaveri,kāverī
kaiawar,kaīāwar
yatri,yātrī
somgiriji,somgirijī
ghat,ghāṭ
dhula,dhūla
bheta,bheṭa
mahabaieshwara,mahābaīeshwara
dharmic,dhārmic
ekanta,ekānta
sanchalaka,sañchālaka
amboda,amboḍā
panchavati,pañchavaṭī
satsanga,satsaṅga
ghumar,ghūmar
marwar,mārwar
kutch,kutc͟h
mudra,mudrā
mathadipati,mat͟hādipati
mathadipatis,mat͟hādipatis
virar,virār
kotekar,koṭekar
shrivalli,shrīvallī
tini,tīni
chari,chāri
divsa,divsā
yeyati,yeyāti
karati,karāti
vijaya,vijayā
nadkarni,nāḍkarṇi
thane,t͟hāṇe
chaturmasaperiod,chāturmāsaperiod
indrayani,indrayāṇī
pandal,paṇḍāl
pujana_,pūjana_
gangapujana_,gaṅgāpūjana_
swamijisails,swāmījīsails
aspujya,aspūjya
swamijireturns,swāmījīreturns
jaijaikara,jaijaikāra
shobhayatra,shobhāyātrā
shobha,shobhā
ashirvada,āshīrvāda
gurudevata,gurudevatā
purnakumbha,pūrṇakumbha
swagata,swāgata
guruparamparaelevates,guruparamparāelevates
kotikoti,koṭikoṭi
pranama,praṇāma
gokarn,gokarṇ
vivekanand,vivekānand
amembaι,amembaῑ
amembaιs,amembaῑs
baithak,bait̲h̲ak
krshnarao,kṛs̲h̲ṇarāo
phulambrikar,phulambrīkar
saptah,saptāh
gujarati,gujarātī
udyavarkar,udyāvarkar
ameli,amelī
todi,toḍī
morarjee,morārjee
desai,desāi
zulfikar,zulfikār
bukhari,bukhārī
sufi,sūfī
gurukshetra,guruks͟hetra
shibirarthi,shibirārthī
pratijna,pratijñā
goshala,goshālā
upasanchalaka,upasañchālaka
balakrishna,bālakris͟hṇa
shetty,sheṭṭy
srivali,srīvalī
ninada,nināda
sharayu,sharayū
haldipur,hal̄dipur
kapalabhati,kapālabhāti
bhastrika,bhastrikā
sambhashana,sambhās͟haṇa
shilpa,shilpā
mudur,mudūr
pawar,pawār
girvanavaikhari,gīrvāṇavaikharī
shivani,shivānī
kallianpur,kalliāṇpur
vinaya,vinayā
satish,satīsh
padaprakshalana,pādapraks͟hālana
dharmapracharaka,dharmaprachāraka
upasanchalika,upasañchālikā
ankita,aṅkitā
maithili,maithilī
sanchalika,sañchālikā
sankshipta,saṅks͟hipta
sandhyavandanam,sandhyāvandanam
paleru,pal̄eru
mamata,mamatā
bhatkal,bhaṭkal
priti,prīti
panemanglor,pāṇemaṅglor
sangrahalaya,saṅgrahālaya
gourish,gourīsh
parijnan,parijñān
anjani,añjanī
dhyana,dhyāna
omkar,oṁkār
dhareshwar,dhāreshwar
sanjay,sañjay
finale,finalé
sabita,sabitā
harite,hariṭe
masurkar,māsurkar
αshirvachana,ᾱshīrvachana
nanda,nandā
alankara,alaṅkāra
shrivallabh,shrīvallabh
sangitalaya,saṅgītālaya
sangitacharya,saṅgītāchārya
samman,sammān
mahamahopadhyaya,mahāmahopādhyāya
samsthana,saṁsthāna
shankaralok,shaṅkarālok
amdavad,amdāvād
dungargarh,ḍūṅgargarh
ashram,āshram
haridwar,haridwār
abu,ābu
pattabhisheka,paṭṭābhisheka
vardhanti,vardhantī
kirtana,kīrtana
mahashivaratri,mahāshivarātri
char,chār
yama,yāma
brahmaji,brahmājī
muhurta,muhūrta
atamateshwar,aṭamateshwar
anushthanam,anus͟ht͟hānam
shivanandalahari,shivānandalaharī
rudri,rudrī
yajnashala,yajñashālā
sayujyam,sāyujyam
sannidhya,sānnidhya
manju,mañjū
shankaraloka,shaṅkarāloka
αshram,ᾱshram
sadhanayana,sādhanāyana
aradhana,ārādhanā
sambhashanam,sambhās͟haṇam
namdev,nāmdev
kailash,kailāsh
manasarovar,mānasarovar
giriji,girijī
maharaj,mahārāj
sanyasi,sanyāsī
shivaratri,shivarātri
αmchi,ᾱmchī
mehendi,mehendī
srikar,srīkar
varun,varuṇ
upachara,upachāra
jagarana,jāgaraṇa
αradhana,ᾱrādhanā
bigga,biggā
bass,bāss
bajra,bājrā
rotla,roṭlā
bhakri,bhākrī
churma,chūrmā
gawar,gawār
nityapatha,nityapāt͟ha
rajasthani,rājasthānī
imli,imlī
adsar,aḍsar
bas,bās
gir,gīr
bhagini,bhaginī
bhiwani,bhiwanī
αmchigele,ᾱmchigele
kashi,kāshī
vedavyas,vedavyās
vrndavan,vṛndāvan
sudhindra,sudhīndra
thirtha,thīrtha
mata,mātā
gudi,guḍī
vyasashram,vyāsāshram
rudraksha,rudrāksha
nirmalya,nirmālya
αrati,ᾱratī
samyamindra,samyamīndra
ghosha,ghos͟ha
vilas,vilās
nayak,nāyak
bakshi,baks͟hī
amitabh,amitābh
matoo,maṭoo
siddharth,siddhārth
kamath,kāmath
maya,māyā
shefali,shefālī
astha,āsthā
sahil,sāhil
kini,kiṇi
aadhar,aadhār
yogacharya,yogāchārya
raghvendra,rāghvendra
yoga,yogā
manasa,mānasa
rshikesh,ṛshikesh
jhula,jhūlā
prokshana,proks͟haṇa
gangajal,gaṅgājal
mahila,mahilā
bhojanashala,bhojanashālā
daksheshwar,daks͟heshwar
rani,rānī
avadheshanandji,avadheshānandjī
parad,pārad
linga,liṅga
ki,kī
pauri,paurī
samyoga,saṁyoga
guruswami,guruswāmī
swikara,swīkāra
pratishtha,pratis͟ht͟hā
bhagavana,bhagavāna
abhisheka,abhis͟heka
bhagavan,bhagavān
viranjaneya,vīrāñjaneya
patta,paṭṭa
kanika,kāṇika
purnahuti,pūrṇāhuti
falahara,falāhāra
maha,mahā
mathadhisha,mat͟hādhīsha
sthali,sthal̄ī
inderghat,inderghāṭ
atmateshwar,aṭmateshwar
rangji,raṅgjī
bhilwara,bhīlwārā
vidyaya,vidyayā
shraddhaya,shraddhayā
upanishada,upanis͟hadā
brahmanatva,brāhmaṇatva
hamare,hamāre
snana,snāna
kulhad,kulhaḍ
vali,vālī
chai,chāi
dham,dhām
girirajeshwari,girirājeshwarī
anusandhana,anusandhāna
anusmarana,anusmaraṇa
vyavahara,vyavahāra
yaga,yāga
shakalya,shākalya
ajna,ājñā
